料理名,満腹,肉,スタミナ,ヘルシー,コッテリ,血圧注意
小ラーメン, , , , , , 
小カラメラーメン, , , , , ,血圧注意
小アブララーメン, , , , ,コッテリ, 
小アブラカラメラーメン, , , , ,コッテリ,血圧注意
小アブラマシラーメン, , , , ,コッテリ, 
小アブラマシカラメラーメン, , , , ,コッテリ,血圧注意
小アブラマシマシラーメン, , , , ,コッテリ, 
小アブラマシマシカラメラーメン, , , , ,コッテリ,血圧注意
小ヤサイラーメン, , , ,ヘルシー, , 
小ヤサイカラメラーメン, , , ,ヘルシー, ,血圧注意
小ヤサイアブララーメン, , , ,ヘルシー,コッテリ, 
小ヤサイアブラカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイアブラマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイアブラマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイアブラマシマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイアブラマシマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシラーメン, , , ,ヘルシー, , 
小ヤサイマシカラメラーメン, , , ,ヘルシー, ,血圧注意
小ヤサイマシアブララーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシアブラカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシアブラマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシアブラマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシアブラマシマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシアブラマシマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシマシラーメン, , , ,ヘルシー, , 
小ヤサイマシマシカラメラーメン, , , ,ヘルシー, ,血圧注意
小ヤサイマシマシアブララーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシマシアブラカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシマシアブラマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシマシアブラマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ヤサイマシマシアブラマシマシラーメン, , , ,ヘルシー,コッテリ, 
小ヤサイマシマシアブラマシマシカラメラーメン, , , ,ヘルシー,コッテリ,血圧注意
小ニンニクラーメン, , ,スタミナ, , , 
小ニンニクカラメラーメン, , ,スタミナ, , ,血圧注意
小ニンニクアブララーメン, , ,スタミナ, ,コッテリ, 
小ニンニクアブラカラメラーメン, , ,スタミナ, ,コッテリ,血圧注意
小ニンニクアブラマシラーメン, , ,スタミナ, ,コッテリ, 
